Sheldon | Excuse me. | 00:00:41,927 | 00:00:44,095

Sheldon | Is it at all possible that you're knitting a pair of pants? | 00:00:46,916 | 00:00:51,135

Sheldon | Oh, well, no, you're understandably terrified. But, you know, allow me to explain. 45 days ago, um, I embarked on a railroad journey of healing because my university was making me do string theory, and my favorite comic book store burned down, and when my roommate got engaged, my girlfriend wanted to move in with me, which was no doubt a ploy just to see my-- well, excuse my language, but my bathing suit parts. | 00:00:52,771 | 00:01:17,245

Sheldon | Uh, sir, may I use your phone? | 00:01:20,916 | 00:01:22,884

Sheldon | Yeah, well, I understand that I'm half naked, but there is a reasonable explanation. While I slept in my sleeper car, all my possessions were stolen. Now, typically, I wear pajamas, but I recently adopted a hobo lifestyle and pajamas are the sleep-pants of the Man. | 00:01:22,886 | 00:01:43,271

Sheldon | I'll have you know, Mahatma Gandhi wore no pants and a nation rallied behind him! My good man... Now, before you walk away... I know that I may appear deranged, but I am, in fact, a world-renowned physicist. Ask me the difference between a boson and a fermion. Go ahead, ask! | 00:01:45,190 | 00:02:02,507

Sheldon | Bosons have integer spin, fermions have half-integer spin! My legs are getting cold! Why won't anybody help me? | 00:02:05,127 | 00:02:13,484

Penny | Hi. Want to do yoga with me? | 00:02:44,679 | 00:02:46,212

Leonard | Hey, buddy. Good to hear your voice. | 00:02:58,393 | 00:03:01,344

Leonard | Oh, my God, are you okay? | 00:03:19,364 | 00:03:20,563

Leonard | He got all of his stuff stolen. | 00:03:35,129 | 00:03:36,712

Leonard | Sheldon, hang tight. Hey, do you want me to bring anything? | 00:03:40,084 | 00:03:42,918

Sheldon | Oh, yes, please. A pair of pants. And my toothbrush. Yeah, and my mail. And a really good comeback for Chicken Legs, because “I know you are, but what am I?” was met with stony silence. | 00:03:42,920 | 00:03:55,014

Leonard | Feel like driving to Arizona with me? | 00:04:00,702 | 00:04:01,905

Leonard | All right, fine. | 00:04:10,781 | 00:04:12,498

Leonard | Hey, can you think of a reason I shouldn't invite Amy to come with me? | 00:04:13,467 | 00:04:16,248

Leonard |  | 00:04:17,005 | 00:04:19,705

Raj | Got a hot girlfriend now. I want the haters to know. | 00:04:29,350 | 00:04:32,601

Howard | What are you talking about? No one's paying attention to you. | 00:04:32,603 | 00:04:35,638

Raj | I thought Stuart was looking after her. | 00:04:45,566 | 00:04:47,149

Howard | He was, but now that her cast is off, he moved out. And honestly, I'm kind of glad. It was getting a little weird. | 00:04:47,151 | 00:04:53,656

Howard | No, not like us. Creepy chummy, like you and your dog. | 00:05:00,331 | 00:05:05,468

Raj | She feeds him out of her own mouth? | 00:05:05,470 | 00:05:09,055

Howard | I mean, he calls her Debbie, she calls him Stewie and they're all giggly around each other. And believe me, when food goes in that mouth, it does not come out. | 00:05:10,090 | 00:05:19,932

Raj | So are you worried because he's replacing you as a son or are you worried because he's becoming her lover? | 00:05:19,934 | 00:05:27,406

Howard | First of all, no one can replace me as a son. I'm her little matzo ball. And secondly, my mother is well past having any kind of sex life. | 00:05:27,408 | 00:05:37,783

Sheldon | Excuse me, Officer Hernandez? Any leads on the person who stole my belongings? | 00:05:47,711 | 00:05:53,349

Sheldon | Well, perhaps I can help. Sherlock Holmes always says when you eliminate the impossible, whatever remains, however improbable, must be the truth. Now, have-have you tried doing that? | 00:05:54,385 | 00:06:07,446

Sheldon | Well, maybe you should. Th-Th-There's lots of books called “Sherlock Holmes” and there's no books called “Officer Hernandez.” | 00:06:09,317 | 00:06:18,407

Leonard | Thanks again for coming. Six hours was gonna be a long drive by myself. | 00:06:24,698 | 00:06:29,218

Bernadette | This job is a lot like being a waitress, except instead of pushing the fish tacos 'cause they're about to go bad, you're just pushing our antidepressants before the FDA finds out they may cause rectal bleeding. | 00:07:07,457 | 00:07:16,932

Penny | Oh, I really appreciate this. I just hope I'm not in over my head. | 00:07:32,950 | 00:07:35,985

Penny | I wish I felt more confident. | 00:07:37,905 | 00:07:39,538

Penny | Oh, thank you, but maybe I should cancel. | 00:07:42,326 | 00:07:44,693

Penny | about pharmaceuticals. | 00:07:46,547 | 00:07:48,447

Bernadette | Oh, I understand. You want to do something you're already good at. I know. Why don't I get you a job at the Sitting Around All Day Wearing Yoga Pants Factory? | 00:07:48,449 | 00:07:57,640

Howard |  You just started seeing naked women again, and I don't want you to be confused about where the boobs should be. | 00:08:05,932 | 00:08:13,856

Stuart | Oh, hey, guys. What are you doing here? | 00:08:15,025 | 00:08:18,027

Stuart | Oh, yeah, I was going to, and then Debbie and I got to talking over dinner the other night. I didn't have anyplace to go, she likes having me around, so we both said, “Why leave?” at the same time. (laughs) It was precious. | 00:08:21,949 | 00:08:36,178

Stuart |  | 00:08:50,561 | 00:08:52,311

Stuart | They're probably on her head. | 00:08:54,030 | 00:08:55,564

Howard | Or in her neck. Listen. | 00:08:56,900 | 00:08:58,734

Howard | You staying here seems like something she would've talked to me about. | 00:08:59,986 | 00:09:04,907

Sheldon | Any word on my stolen items? | 00:09:29,165 | 00:09:31,033

Sheldon | You know, Sherlock Holmes liked to use cocaine to sharpen his focus. | 00:09:34,004 | 00:09:37,906

Sheldon | But I'm sure those Cool Ranch Doritos are doing the trick. | 00:09:40,877 | 00:09:44,380

Amy | What do you mean, why did I come? | 00:09:56,426 | 00:09:58,093

Sheldon |  I feel uncomfortable saying it out loud in front of these police officers. | 00:10:06,686 | 00:10:11,890

Leonard | So, Sheldon, tell us about your trip. Where'd you go? | 00:10:34,261 | 00:10:38,014

Sheldon | Oh, I have no idea. I never left the train station. | 00:10:46,825 | 00:10:49,909

Leonard | across the entire country and never left a train station? | 00:10:51,412 | 00:10:55,665

Sheldon | Why would I? That's where all the cool trains are. | 00:10:55,667 | 00:10:58,868

Sheldon | Or had a single piece of fruit. | 00:11:02,707 | 00:11:05,425

Penny | Uh, well, as a waitress, sales was a big part of my job. I mean, believe me, I convinced a lot of very large customers, who should not be eating cheesecake, to have more cheesecake. I mean, one of those chubsters even had an insulin pump! Uh-huh! | 00:11:36,825 | 00:11:52,088

Penny | I have an insulin pump. | 00:11:53,173 | 00:11:56,209

Raj | That is weird. I thought he was, like, 45. | 00:12:08,106 | 00:12:12,575

Howard |  | 00:04:17,005 | 00:04:19,705

Howard | Thanks for the lift. What's wrong with your car? I'm having my windows untinted. Why? Got a hot girlfriend now. I want the haters to know. What are you talking about? No one's paying attention to you. Wow. How's that Hater-Ade taste, bro? | 00:04:20,874 | 00:04:39,558

Howard | Hey, this isn't the way to work. I just want to pop in and make sure Ma's okay. I thought Stuart was looking after her. He was, but now that her cast is off, he moved out. And honestly, I'm kind of glad. It was getting a little weird. How so? I don't know, they're... chummy. Like us? No, not like us. Creepy chummy, like you and your dog. She feeds him out of her own mouth? | 00:04:40,811 | 00:05:09,055

Howard | I mean, he calls her Debbie, she calls him Stewie and they're all giggly around each other. And believe me, when food goes in that mouth, it does not come out. So are you worried because he's replacing you as a son or are you worried because he's becoming her lover? First of all, no one can replace me as a son. I'm her little matzo ball. And secondly, my mother is well past having any kind of sex life. Okay, okay. | 00:05:10,090 | 00:05:39,585

Howard | Although many older women lead vibrant, active... I said well past it! | 00:05:40,620 | 00:05:45,124

